tree: /scratch/work/[redacted]/triton-per-v010/src/triton_per/__init__.py
{'backend': 'triton-unfused', 'capacity': 10000000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.290', 'p50_ms': '0.280', 'p95_ms': '0.313', 'samples_per_sec': '881937.052'}
{'backend': 'triton-unfused', 'capacity': 10000000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.280', 'p50_ms': '0.276', 'p95_ms': '0.303', 'samples_per_sec': '3652195.885'}
{'backend': 'triton-unfused', 'capacity': 10000000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.283', 'p50_ms': '0.278', 'p95_ms': '0.308', 'samples_per_sec': '3620486.882'}
{'backend': 'triton-unfused', 'capacity': 10000000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.280', 'p50_ms': '0.276', 'p95_ms': '0.307', 'samples_per_sec': '14622957.353'}
{'backend': 'triton-unfused', 'capacity': 10000000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.283', 'p50_ms': '0.277', 'p95_ms': '0.309', 'samples_per_sec': '14478884.042'}
{'backend': 'torch', 'capacity': 100000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.432', 'p50_ms': '0.431', 'p95_ms': '0.452', 'samples_per_sec': '591947.604'}
{'backend': 'torch', 'capacity': 100000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.436', 'p50_ms': '0.432', 'p95_ms': '0.463', 'samples_per_sec': '587777.434'}
{'backend': 'torch', 'capacity': 100000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.429', 'p50_ms': '0.423', 'p95_ms': '0.458', 'samples_per_sec': '2389704.051'}
{'backend': 'torch', 'capacity': 100000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.440', 'p50_ms': '0.433', 'p95_ms': '0.466', 'samples_per_sec': '2329911.811'}
{'backend': 'torch', 'capacity': 100000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.443', 'p50_ms': '0.440', 'p95_ms': '0.466', 'samples_per_sec': '9241895.442'}
{'backend': 'torch', 'capacity': 100000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.443', 'p50_ms': '0.440', 'p95_ms': '0.468', 'samples_per_sec': '9253682.748'}
{'backend': 'torch', 'capacity': 1000000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.435', 'p50_ms': '0.432', 'p95_ms': '0.462', 'samples_per_sec': '588036.038'}
{'backend': 'torch', 'capacity': 1000000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.437', 'p50_ms': '0.432', 'p95_ms': '0.468', 'samples_per_sec': '586343.418'}
{'backend': 'torch', 'capacity': 1000000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.437', 'p50_ms': '0.435', 'p95_ms': '0.457', 'samples_per_sec': '2342560.043'}
{'backend': 'torch', 'capacity': 1000000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.439', 'p50_ms': '0.436', 'p95_ms': '0.466', 'samples_per_sec': '2332956.615'}
{'backend': 'torch', 'capacity': 1000000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.449', 'p50_ms': '0.440', 'p95_ms': '0.470', 'samples_per_sec': '9112986.408'}
{'backend': 'torch', 'capacity': 1000000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.442', 'p50_ms': '0.439', 'p95_ms': '0.457', 'samples_per_sec': '9261958.572'}
{'backend': 'torch', 'capacity': 10000000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.435', 'p50_ms': '0.432', 'p95_ms': '0.459', 'samples_per_sec': '588306.191'}
{'backend': 'torch', 'capacity': 10000000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.438', 'p50_ms': '0.435', 'p95_ms': '0.463', 'samples_per_sec': '584383.997'}
{'backend': 'torch', 'capacity': 10000000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.437', 'p50_ms': '0.434', 'p95_ms': '0.464', 'samples_per_sec': '2341829.119'}
{'backend': 'torch', 'capacity': 10000000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.435', 'p50_ms': '0.432', 'p95_ms': '0.455', 'samples_per_sec': '2354538.206'}
{'backend': 'torch', 'capacity': 10000000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.441', 'p50_ms': '0.438', 'p95_ms': '0.464', 'samples_per_sec': '9286157.896'}
{'backend': 'torch', 'capacity': 10000000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.443', 'p50_ms': '0.441', 'p95_ms': '0.468', 'samples_per_sec': '9236739.591'}
wrote 54 rows -> results/micro_mi210_v010.csv
